# param1 param2 velocity_error viscosity_error
5.3176324803e+00 7.2239657897e-01 4.2980546346e-02 2.0662182580e-01
5.3176324803e+00 7.2239657897e-01 3.6859916111e-02 1.4913291833e-01
5.3176324803e+00 7.2239657897e-01 2.1247109500e-02 2.3429686351e-01
5.3176324803e+00 7.2239657897e-01 1.6239987345e-02 3.9415601248e-01
5.3176324803e+00 7.2239657897e-01 3.2168259575e-02 1.1093608126e-01
5.3176324803e+00 7.2239657897e-01 3.3401126043e-02 4.0201248425e-01
5.3176324803e+00 7.2239657897e-01 4.4004899173e-03 1.4991643461e-02
5.3675790125e+00 4.2115669841e-01 5.0165504193e-03 9.6095413981e-02
5.3675790125e+00 4.2115669841e-01 4.6727421487e-02 1.9310547396e-01
5.3675790125e+00 4.2115669841e-01 4.5703937347e-02 1.8228781218e-01
5.3675790125e+00 4.2115669841e-01 4.2624917442e-02 2.1047055480e-01
5.3675790125e+00 4.2115669841e-01 3.0135764571e-02 1.4066574471e-01
5.3675790125e+00 4.2115669841e-01 3.0810648214e-02 2.2475200143e-01
5.3675790125e+00 4.2115669841e-01 8.0583682499e-02 3.6746224863e-01
5.3675790125e+00 4.2115669841e-01 9.3958760318e-02 1.0522708032e-01
5.3675790125e+00 4.2115669841e-01 9.5831317160e-02 3.9364624181e-01
5.3675790125e+00 4.2115669841e-01 4.1704474797e-03 2.4020826006e-02
5.5712664341e+00 7.3710655841e-01 4.9347305449e-03 9.6095408951e-02
5.5712664341e+00 7.3710655841e-01 4.6651049515e-02 2.0662172347e-01
5.5712664341e+00 7.3710655841e-01 4.5587309899e-02 2.0069769269e-01
5.5712664341e+00 7.3710655841e-01 4.3009814749e-02 2.0810597204e-01
5.5712664341e+00 7.3710655841e-01 3.7260768186e-02 1.4988856713e-01
5.5712664341e+00 7.3710655841e-01 2.2716604611e-02 2.3080978752e-01
5.5712664341e+00 7.3710655841e-01 1.4460205411e-02 3.8503142439e-01
5.5712664341e+00 7.3710655841e-01 2.9950999558e-02 1.1238801022e-01
5.5712664341e+00 7.3710655841e-01 3.1274099815e-02 4.2175293308e-01
5.5712664341e+00 7.3710655841e-01 4.7056114625e-03 1.4599390268e-02
5.7079575837e+00 6.7762686702e-01 4.9369236624e-03 9.6095851989e-02
5.7079575837e+00 6.7762686702e-01 4.6629098229e-02 2.0546438209e-01
5.7079575837e+00 6.7762686702e-01 4.5557853928e-02 1.9944667593e-01
5.7079575837e+00 6.7762686702e-01 4.2880000140e-02 2.1024998455e-01
5.7079575837e+00 6.7762686702e-01 3.6109398027e-02 1.4925847651e-01
5.7079575837e+00 6.7762686702e-01 1.8612870396e-02 2.2806316647e-01
5.7079575837e+00 6.7762686702e-01 2.4247424674e-02 3.7793134619e-01
5.7079575837e+00 6.7762686702e-01 4.3334179147e-02 1.1214331292e-01
5.7079575837e+00 6.7762686702e-01 4.4559258086e-02 4.2815571594e-01
5.7079575837e+00 6.7762686702e-01 4.6077116598e-03 1.4048158477e-02
5.9317580657e+00 4.9117604370e-01 4.9765079972e-03 9.6095492329e-02
5.9317580657e+00 4.9117604370e-01 4.6640649148e-02 1.9880817879e-01
5.9317580657e+00 4.9117604370e-01 4.5564684241e-02 1.9121172121e-01
5.9317580657e+00 4.9117604370e-01 4.2566670451e-02 2.1546731847e-01
5.9317580657e+00 4.9117604370e-01 3.2054832825e-02 1.4543878900e-01
5.9317580657e+00 4.9117604370e-01 2.0575455092e-02 2.2127430275e-01
5.9317580657e+00 4.9117604370e-01 6.6242569661e-02 3.5945721896e-01
5.9317580657e+00 4.9117604370e-01 8.5640562584e-02 1.1022101261e-01
5.9317580657e+00 4.9117604370e-01 8.7094888459e-02 4.3411840209e-01
5.9317580657e+00 4.9117604370e-01 3.4976357874e-03 2.0426129364e-02
6.1249316243e+00 7.3834128708e-01 4.9347169297e-03 9.6095644165e-02
6.1249316243e+00 7.3834128708e-01 4.6644608385e-02 2.0798289469e-01
6.1249316243e+00 7.3834128708e-01 4.5575279555e-02 2.0387362635e-01
6.1249316243e+00 7.3834128708e-01 4.3009994782e-02 2.1173005376e-01
6.1249316243e+00 7.3834128708e-01 3.7488944713e-02 1.5125019128e-01
6.1249316243e+00 7.3834128708e-01 2.3518514022e-02 2.2316885393e-01
